"","Date","Age","Treatment","PlateID","Well","Family","Family_EBV","Count","AUC","AUC.cor","AUC.cor.norm"
"212",20260320,"72hpf","26C","plate_2_low","C6",52,"Low",43,459.216666666667,233.928125,5.44018895348837
"213",20260320,"72hpf","26C","plate_2_low","C7",1,"High",36,515.1,289.811458333333,8.05031828703704
"214",20260320,"72hpf","26C","plate_2_low","C8",4,"High",35,1046.425,821.136458333334,23.4610416666667
"215",20260320,"72hpf","26C","plate_2_low","C10",5,"High",23,303.25,77.9614583333334,3.38962862318841
"216",20260320,"72hpf","26C","plate_2_low","C11",8,"High",112,895.683333333333,670.394791666667,5.9856677827381
"217",20260320,"72hpf","26C","plate_2_low","D1",54,"Low",6,227.641666666667,2.35312500000003,0.392187500000006
"218",20260320,"72hpf","26C","plate_2_low","D2",55,"Low",96,766.675,541.386458333334,5.63944227430556
"219",20260320,"72hpf","26C","plate_2_low","D3",56,"Low",1,254.45,29.1614583333333,29.1614583333333
"220",20260320,"72hpf","26C","plate_2_low","D5",53,"Low",74,780.991666666667,555.703125,7.50950168918919
"221",20260320,"72hpf","26C","plate_2_low","D7",1,"High",67,721,495.711458333334,7.39867848258707
"222",20260320,"72hpf","26C","plate_2_low","D8",4,"High",33,365.725,140.436458333333,4.25565025252525
"223",20260320,"72hpf","26C","plate_2_low","D10",5,"High",69,601.5,376.211458333333,5.45233997584541
"224",20260320,"72hpf","26C","plate_2_low","D11",8,"High",92,887.958333333333,662.669791666667,7.20293251811594
"225",20260320,"72hpf","26C","plate_2_low","E1",54,"Low",33,369.133333333333,143.844791666667,4.35893308080808
"226",20260320,"72hpf","26C","plate_2_low","E2",55,"Low",116,725.916666666667,500.628125,4.31575969827586
"227",20260320,"72hpf","26C","plate_2_low","E3",56,"Low",18,343.408333333333,118.119791666667,6.56221064814815
"228",20260320,"72hpf","26C","plate_2_low","E4",57,"Low",84,894.258333333333,668.969791666667,7.96392609126984
"229",20260320,"72hpf","26C","plate_2_low","E5",53,"Low",68,795.891666666667,570.603125,8.39122242647059
"230",20260320,"72hpf","26C","plate_2_low","E6",52,"Low",43,546.3,321.011458333334,7.46538275193799
"231",20260320,"72hpf","26C","plate_2_low","E7",1,"High",64,631.241666666667,405.953125,6.343017578125
"232",20260320,"72hpf","26C","plate_2_low","E8",4,"High",34,472.308333333333,247.019791666667,7.26528799019608
"233",20260320,"72hpf","26C","plate_2_low","E10",5,"High",85,702.95,477.661458333333,5.61954656862745
"234",20260320,"72hpf","26C","plate_2_low","E11",8,"High",94,991.033333333333,765.744791666667,8.14622118794326
"235",20260320,"72hpf","26C","plate_2_low","F1",54,"Low",29,392.366666666667,167.078125,5.76131465517241
"236",20260320,"72hpf","26C","plate_2_low","F3",56,"Low",22,389.975,164.686458333333,7.48574810606061
"237",20260320,"72hpf","26C","plate_2_low","F4",57,"Low",83,906.4,681.111458333333,8.20616214859438
"238",20260320,"72hpf","26C","plate_2_low","F6",52,"Low",36,437.15,211.861458333333,5.88504050925926
"239",20260320,"72hpf","26C","plate_2_low","F7",1,"High",14,948.216666666667,722.928125,51.6377232142857
"240",20260320,"72hpf","26C","plate_2_low","F8",4,"High",42,543.066666666667,317.778125,7.56614583333334
"241",20260320,"72hpf","26C","plate_2_low","F10",5,"High",71,531.616666666667,306.328125,4.31448063380282
"242",20260320,"72hpf","26C","plate_2_low","F11",8,"High",76,805.841666666667,580.553125,7.63885690789474
"243",20260320,"72hpf","26C","plate_2_low","F12",3,"High",52,563.541666666667,338.253125,6.50486778846154
"244",20260320,"72hpf","26C","plate_2_low","G1",54,"Low",31,367.691666666667,142.403125,4.59364919354839
"245",20260320,"72hpf","26C","plate_2_low","G2",55,"Low",115,959.05,733.761458333334,6.38053442028986
"246",20260320,"72hpf","26C","plate_2_low","G4",57,"Low",82,875.383333333333,650.094791666667,7.92798526422764
"247",20260320,"72hpf","26C","plate_2_low","G6",52,"Low",49,643.241666666667,417.953125,8.5296556122449
"248",20260320,"72hpf","26C","plate_2_low","G7",1,"High",31,614.25,388.961458333333,12.5471438172043
"249",20260320,"72hpf","26C","plate_2_low","G10",5,"High",99,880.975,655.686458333334,6.62309553872054
